2024/7/16 	 9:44:46 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.979650
	0.005000	-1.031224
	0.010000	-1.028001
	0.015000	-0.979650
	0.020000	-0.979650
	0.025000	-1.024777
	0.030000	-1.031224
	0.035000	-0.979650
	0.040000	-0.976427
	0.045000	-1.034447
	0.050000	-1.034447
	0.055000	-0.979650
	0.060000	-0.979650
	0.065000	-1.024777
	0.070000	-1.034447
	0.075000	-0.979650
	0.080000	-0.976427
	0.085000	-1.031224
	0.090000	-1.034447
	0.095000	-0.982874
	0.100000	-0.982874
	0.105000	-1.034447
	0.110000	-1.034447
	0.115000	-0.982874
	0.120000	-0.979650
	0.125000	-1.031224
	0.130000	-1.037671
	0.135000	-0.979650
	0.140000	-0.979650
	0.145000	-1.037671
	0.150000	-1.037671
	0.155000	-0.982874
	0.160000	-0.982874
	0.165000	-1.031224
	0.170000	-1.037671
	0.175000	-0.982874
	0.180000	-0.982874
	0.185000	-1.037671
	0.190000	-1.034447
	0.195000	-0.982874
	0.200000	-0.989320
	0.205000	-1.040894
	0.210000	-1.040894
	0.215000	-0.986097
	0.220000	-0.982874
	0.225000	-1.037671
	0.230000	-1.040894
	0.235000	-0.989320
	0.240000	-0.982874
	0.245000	-1.040894
	0.250000	-1.034447
	0.255000	-0.989320
	0.260000	-0.986097
	0.265000	-1.044118
	0.270000	-1.040894
	0.275000	-0.979650
	0.280000	-0.982874
	0.285000	-1.040894
	0.290000	-1.040894
	0.295000	-0.982874
	0.300000	-0.979650
	0.305000	-1.037671
	0.310000	-1.034447
	0.315000	-0.986097
	0.320000	-0.989320
	0.325000	-1.040894
	0.330000	-1.037671
	0.335000	-0.986097
	0.340000	-0.979650
	0.345000	-1.040894
	0.350000	-1.044118
	0.355000	-0.989320
	0.360000	-0.982874
	0.365000	-1.044118
	0.370000	-1.040894
	0.375000	-0.986097
	0.380000	-0.989320
	0.385000	-1.044118
	0.390000	-1.044118
	0.395000	-0.982874
	0.400000	-0.989320
	0.405000	-1.044118
	0.410000	-1.034447
	0.415000	-0.992544
	0.420000	-0.989320
	0.425000	-1.040894
	0.430000	-1.044118
	0.435000	-0.986097
	0.440000	-0.982874
	0.445000	-1.040894
	0.450000	-1.037671
	0.455000	-0.992544
	0.460000	-0.992544
	0.465000	-1.037671
	0.470000	-1.037671
	0.475000	-0.989320
	0.480000	-0.992544
	0.485000	-1.044118
	0.490000	-1.037671
	0.495000	-0.992544
	0.500000	-0.992544
	0.505000	-1.040894
	0.510000	-1.044118
	0.515000	-0.992544
	0.520000	-0.986097
	0.525000	-1.040894
	0.530000	-1.037671
	0.535000	-0.986097
	0.540000	-0.995767
	0.545000	-1.040894
	0.550000	-1.044118
	0.555000	-0.986097
	0.560000	-0.989320
	0.565000	-1.044118
	0.570000	-1.040894
	0.575000	-0.986097
	0.580000	-0.986097
	0.585000	-1.044118
	0.590000	-1.044118
	0.595000	-0.989320
	0.600000	-0.989320
	0.605000	-1.040894
	0.610000	-1.040894
	0.615000	-0.986097
	0.620000	-0.989320
	0.625000	-1.037671
	0.630000	-1.040894
	0.635000	-0.992544
	0.640000	-0.992544
	0.645000	-1.040894
	0.650000	-1.044118
	0.655000	-0.989320
	0.660000	-0.989320
	0.665000	-1.050564
	0.670000	-1.047341
	0.675000	-0.989320
	0.680000	-0.995767
	0.685000	-1.047341
	0.690000	-1.044118
	0.695000	-0.982874
	0.700000	-0.989320
	0.705000	-1.044118
	0.710000	-1.044118
	0.715000	-0.992544
	0.720000	-0.986097
	0.725000	-1.050564
	0.730000	-1.040894
	0.735000	-0.992544
	0.740000	-0.998991
	0.745000	-1.053788
	0.750000	-1.037671
	0.755000	-0.992544
	0.760000	-0.989320
	0.765000	-1.047341
	0.770000	-1.047341
	0.775000	-0.989320
	0.780000	-0.992544
	0.785000	-1.044118
	0.790000	-1.047341
	0.795000	-0.989320
	0.800000	-0.998991
	0.805000	-1.050564
	0.810000	-1.040894
	0.815000	-0.995767
	0.820000	-0.992544
	0.825000	-1.044118
	0.830000	-1.047341
	0.835000	-0.989320
	0.840000	-0.998991
	0.845000	-1.047341
	0.850000	-1.047341
	0.855000	-0.992544
	0.860000	-0.992544
	0.865000	-1.040894
	0.870000	-1.044118
	0.875000	-0.986097
	0.880000	-0.989320
	0.885000	-1.053788
	0.890000	-1.040894
	0.895000	-0.986097
	0.900000	-0.989320
	0.905000	-1.047341
	0.910000	-1.044118
	0.915000	-0.992544
	0.920000	-0.992544
	0.925000	-1.053788
	0.930000	-1.044118
	0.935000	-0.989320
	0.940000	-0.995767
	0.945000	-1.053788
	0.950000	-1.047341
	0.955000	-0.995767
	0.960000	-0.998991
	0.965000	-1.053788
	0.970000	-1.047341
	0.975000	-0.992544
	0.980000	-0.995767
	0.985000	-1.057011
	0.990000	-1.050564
	0.995000	-0.989320
	1.000000	-0.998991
	1.005000	-1.050564
	1.010000	-1.047341
	1.015000	-0.995767
	1.020000	-0.995767
	1.025000	-1.050564
	1.030000	-1.050564
	1.035000	-0.995767
	1.040000	-0.998991
	1.045000	-1.047341
	1.050000	-1.047341
	1.055000	-0.989320
	1.060000	-0.995767
	1.065000	-1.047341
	1.070000	-1.044118
	1.075000	-0.989320
	1.080000	-0.995767
	1.085000	-1.047341
	1.090000	-1.053788
	1.095000	-0.998991
	1.100000	-0.998991
	1.105000	-1.050564
	1.110000	-1.044118
	1.115000	-0.998991
	1.120000	-0.998991
	1.125000	-1.047341
	1.130000	-1.047341
	1.135000	-0.995767
	1.140000	-0.995767
	1.145000	-1.057011
	1.150000	-1.047341
	1.155000	-0.995767
	1.160000	-0.995767
	1.165000	-1.047341
	1.170000	-1.053788
	1.175000	-0.992544
	1.180000	-0.995767
	1.185000	-1.050564
	1.190000	-1.050564
	1.195000	-0.995767
	1.200000	-1.002214
	1.205000	-1.053788
	1.210000	-1.050564
	1.215000	-0.995767
	1.220000	-0.998991
	1.225000	-1.050564
	1.230000	-1.044118
	1.235000	-0.995767
	1.240000	-0.995767
	1.245000	-1.050564
	1.250000	-1.050564
	1.255000	-0.995767
	1.260000	-0.998991
	1.265000	-1.057011
	1.270000	-1.050564
	1.275000	-1.002214
	1.280000	-0.998991
	1.285000	-1.053788
	1.290000	-1.047341
	1.295000	-0.995767
	1.300000	-1.005437
	1.305000	-1.053788
	1.310000	-1.053788
	1.315000	-0.992544
	1.320000	-1.002214
	1.325000	-1.060234
	1.330000	-1.047341
	1.335000	-0.995767
	1.340000	-1.005437
	1.345000	-1.060234
	1.350000	-1.053788
	1.355000	-0.998991
	1.360000	-1.008661
	1.365000	-1.069904
	1.370000	-1.050564
	1.375000	-1.002214
	1.380000	-1.008661
	1.385000	-1.057011
	1.390000	-1.057011
	1.395000	-0.998991
	1.400000	-1.005437
	1.405000	-1.057011
	1.410000	-1.057011
	1.415000	-0.998991
	1.420000	-1.002214
	1.425000	-1.057011
	1.430000	-1.053788
	1.435000	-1.005437
	1.440000	-1.002214
	1.445000	-1.060234
	1.450000	-1.053788
	1.455000	-1.002214
	1.460000	-1.002214
	1.465000	-1.060234
	1.470000	-1.050564
	1.475000	-0.995767
	1.480000	-1.005437
	1.485000	-1.057011
	1.490000	-1.050564
	1.495000	-1.002214
	1.500000	-1.002214
	1.505000	-1.060234
	1.510000	-1.057011
	1.515000	-0.995767
	1.520000	-1.015107
	1.525000	-1.063458
	1.530000	-1.057011
	1.535000	-0.992544
	1.540000	-1.005437
	1.545000	-1.066681
	1.550000	-1.053788
	1.555000	-1.002214
	1.560000	-1.008661
	1.565000	-1.060234
	1.570000	-1.057011
	1.575000	-0.998991
	1.580000	-1.011884
	1.585000	-1.057011
	1.590000	-1.057011
	1.595000	-1.005437
	1.600000	-1.008661
	1.605000	-1.063458
	1.610000	-1.057011
	1.615000	-1.002214
	1.620000	-1.015107
	1.625000	-1.060234
	1.630000	-1.057011
	1.635000	-1.002214
	1.640000	-1.008661
	1.645000	-1.063458
	1.650000	-1.053788
	1.655000	-1.005437
	1.660000	-1.011884
	1.665000	-1.066681
	1.670000	-1.063458
	1.675000	-1.008661
	1.680000	-1.011884
	1.685000	-1.066681
	1.690000	-1.057011
	1.695000	-1.008661
	1.700000	-1.021554
	1.705000	-1.069904
	1.710000	-1.066681
	1.715000	-1.008661
	1.720000	-1.018331
	1.725000	-1.069904
	1.730000	-1.057011
	1.735000	-1.005437
	1.740000	-1.015107
	1.745000	-1.066681
	1.750000	-1.060234
	1.755000	-1.008661
	1.760000	-1.015107
	1.765000	-1.066681
	1.770000	-1.057011
	1.775000	-1.008661
	1.780000	-1.015107
	1.785000	-1.066681
	1.790000	-1.060234
	1.795000	-0.998991
	1.800000	-1.015107
	1.805000	-1.063458
	1.810000	-1.060234
	1.815000	-1.002214
	1.820000	-1.008661
	1.825000	-1.060234
	1.830000	-1.050564
